sample,label,A1BG,A2BP1,A2M
GSM1423780,1,-0.066694045,0.019393985,-0.01999192
GSM1423781,1,0.054097305,0.04661377,-0.02822959
GSM1423782,1,0.02528179,0.18675345,-0.02522354
GSM1423783,1,0.00248456,0.00646935,0.009184075
GSM1423784,1,-0.092605565,0.075331085,-0.02748478
GSM1423785,1,-0.044708465,-0.3456473,-0.06076526
GSM1423786,1,-0.09556635,-0.32054605,0.1559286
GSM1423787,1,-0.04225787,-0.7765382,0.3511705
GSM1423788,1,-0.05147972,0.018454504,-0.02419143
GSM1423789,1,-0.03106824,-0.3407391,0.1888376
GSM1423790,1,-0.090663045,-0.09152997,0.05316428
GSM1423791,1,-0.08166245,-0.33532065,0.004160027
GSM1423792,1,-0.12845879,-0.2164355,-0.1579901
GSM1423793,1,-0.113770055,-0.021838403,-0.1361758
GSM1423794,1,-0.05503621,-0.58325355,0.0265189
GSM1423795,1,-0.070021447,-0.3902568,0.227766
GSM1423796,1,0.001502205,-0.2319524,0.1599115
GSM1423797,1,-0.039074139,-0.28762205,0.2313739
GSM1423798,1,0.001164895,-0.19107395,-0.02490793
GSM1423799,1,-0.01870858,-0.54766485,0.2587359
GSM1423800,1,-0.0107138,-0.349528,0.07141985
GSM1423801,1,-0.018614455,-0.4136487,0.2561578
GSM1423802,1,0.121804,-0.2807742,-0.1603409
GSM1423803,1,-0.08147047,0.05422566,-0.1551058
GSM1423804,1,0.03707904,-0.6123822,0.546459
GSM1423805,1,-0.06829078,-0.086235065,0.1225874
GSM1423806,1,-0.05718727,-0.6037272,0.01704027
GSM1423807,1,0.031455545,-0.5357897,0.2226033
GSM1423808,1,-0.08146462,-0.54940785,0.01471161
GSM1423809,1,-0.014364304,0.11297456,-0.1889625
GSM1423810,1,-0.08576906,-0.1882572,-0.07199302
GSM1423811,1,-0.069763955,0.000722535,0.09833956
GSM1423812,1,-0.056330362,-0.52872635,-0.04072991
GSM1423813,1,-0.057212475,-0.16340595,-0.144144
GSM1423814,1,-0.034248365,0.014369554,-0.1404225
GSM1423815,1,-0.03752652,-0.100152015,0.05415138
GSM1423816,1,-0.05994113,-0.08170996,-0.1193443
GSM1423817,1,-0.08454352,-0.070249915,0.1490177
GSM1423818,1,-0.13112764,-0.116138395,-0.04488385
GSM1423819,1,-0.01751818,-0.4824836,0.1126611
GSM1423820,1,-0.127133165,-0.30785235,0.09953652
GSM1423821,1,-0.073738086,-0.4444902,0.1538716
GSM1423822,1,-0.05414148,0.054014603,-0.0648617
GSM1423823,1,-0.072052257,-0.88928575,0.2063738
GSM1423824,1,-0.118582955,-0.45880945,0.07277571
GSM1423825,1,-0.040294075,-0.26492635,-0.03496123
GSM1423826,1,-0.102719705,-0.6518473,0.4738526
GSM1423827,1,-0.087403765,-0.35450275,-0.04597846
GSM1423828,1,-0.065869325,-0.08075667,0.02184563
GSM1423829,1,-0.03343297,0.030092909,0.2020948
GSM1423830,1,-0.018560248,0.13188955,-0.1171545
GSM1423831,1,0.00522505,-0.35294925,0.1471623
GSM1423832,1,-0.089323215,-0.2643813,-0.05139303
