feature,classifier_attribution
Methy_TMBIM1,0.0026406697
Methy_PCDHA13,0.0018233635
Methy_PTOV1,0.0018081696
Methy_RSL1D1,0.0017254086
Methy_SMPD3,0.001634709
Methy_MAP6,0.0016053054
Methy_RFWD3,0.001580147
Methy_PROC,0.0015572492
Methy_OR6F1,0.001490028
Methy_OR2M1P,0.0014465676
Methy_OR10A4,0.0014058722
Methy_ZFAND1,0.0013789077
Methy_PPP1CA,0.0013285094
Methy_RUFY2,0.0013101614
Methy_ZNF570,0.0013018674
Methy_PGRMC2,0.0012798165
Methy_OR4D6,0.0012644446
Methy_ZNF573,0.0012424254
Methy_SPACA1,0.0012304811
Methy_MASP2,0.0012288779
Methy_TCP11L2,0.0012160017
Methy_RFPL3S,0.001200722
Methy_PHLDB1,0.0011879513
Methy_NFATC1,0.0011872438
Methy_PSRC1,0.0011604687
Methy_S100PBP,0.0011560427
Methy_TMC5,0.0011405997
Methy_STAM2,0.0011393239
Methy_RLN3,0.001126261
Methy_PCID2,0.0011149416
Methy_OR2AE1,0.0011070604
Methy_NFKBIL2,0.0011010853
Methy_OR2M2,0.0010982205
Methy_UBR5,0.0010942017
Methy_TRIM29,0.0010817387
Methy_OR6C4,0.0010796596
Methy_SMR3A,0.0010775924
Methy_PYGL,0.0010663834
Methy_RSF1,0.001062572
Methy_PIWIL1,0.0010620598
Methy_RDH12,0.0010544598
Methy_SGCD,0.0010531411
Methy_ZNF230,0.0010472258
Methy_UPK3B,0.0010273977
Methy_NSUN6,0.0010240589
Methy_ZNF354A,0.0010162583
Methy_PPP2R5C,0.0010045156
Methy_PPIL2,0.0010022495
Methy_SMPDL3B,0.0010011022
Methy_PSMC3IP,0.0009921598
Methy_ZNF229,0.00097594183
Methy_SSTR3,0.0009731379
Methy_MESP2,0.0009616305
Methy_ZNF80,0.0009502858
Methy_PLP2,0.0009489462
Methy_UQCC,0.00094809366
Methy_MIXL1,0.00094697124
Methy_TSGA10,0.00093273603
Methy_SLAMF7,0.00093227596
Methy_PGBD5,0.00092943915
Methy_PSMC1,0.00092297676
Methy_RGS4,0.0009207386
Methy_TMLHE,0.0009193081
Methy_PHOX2A,0.0009169158
Methy_NYX,0.00091472466
Methy_TTL,0.00091227907
Methy_PNMA5,0.0009109775
Methy_TRIAP1,0.0009099226
Methy_MCM10,0.00090738246
Methy_TCEAL3,0.0009012975
Methy_TSEN54,0.0008997012
Methy_MUC5B,0.0008988675
Methy_ROBO3,0.00089694094
Methy_SUCNR1,0.00089306536
Methy_SEPP1,0.0008903978
Methy_RPL6,0.0008891023
Methy_WFIKKN2,0.0008867102
Methy_TRAPPC3,0.0008858452
Methy_XCR1,0.0008856839
Methy_SEPT3,0.00088516285
Methy_VSNL1,0.00088142545
Methy_SSU72,0.0008790734
Methy_VDAC3,0.000874034
Methy_TNFRSF11A,0.00087307557
Methy_PCDHA3,0.0008726981
Methy_RND1,0.0008722729
Methy_VDAC2,0.00087100634
Methy_PRPF38B,0.0008696491
Methy_MED9,0.00086499535
Methy_MICB,0.00086476497
Methy_TEX15,0.0008641855
Methy_NUPR1,0.00086404424
Methy_ZNF396,0.0008621274
Methy_WASF3,0.0008542012
Methy_MS4A7,0.0008528192
Methy_TCEAL2,0.0008503821
Methy_SMAD6,0.0008499597
Methy_MAS1,0.00084907934
Methy_MXD4,0.0008445492
Methy_MAP1LC3B,0.0008439802
Methy_SLC4A5,0.00084379624
Methy_RBM5,0.00084110996
Methy_MSX2P1,0.00083625485
Methy_RNF157,0.000833472
Methy_RFTN2,0.0008323072
Methy_STK16,0.00082767126
Methy_PSTK,0.00082329713
Methy_RTN4,0.0008212747
Methy_RBX1,0.00081996433
Methy_WBP11P1,0.0008176875
Methy_VGLL1,0.00081653637
Methy_MUC2,0.0008157866
Methy_SLC25A31,0.0008148375
Methy_ZNF579,0.0008142477
Methy_SUSD1,0.0008124536
Methy_TXNL1,0.0008111498
Methy_SPRN,0.00080974336
Methy_TDRD10,0.00080943474
Methy_STRA8,0.00080927234
Methy_SMR3B,0.0008068659
Methy_SRF,0.00080401776
Methy_TNFSF10,0.00080374454
Methy_SEMA4A,0.0007993816
Methy_TBC1D22A,0.00079888274
Methy_TTLL6,0.00079654873
Methy_PTPRQ,0.0007964411
Methy_RBM41,0.0007957033
Methy_RPL9,0.0007951421
Methy_TBC1D10A,0.0007943899
Methy_MTHFR,0.0007926288
Methy_STC1,0.0007914472
Methy_POLE3,0.00079022365
Methy_RAMP2,0.0007900232
Methy_STK11,0.00078928925
Methy_OBP2B,0.00078926753
Methy_PLAC8L1,0.0007889667
Methy_SFRS16,0.0007838957
Methy_SERPINA9,0.00078376994
Methy_SYCP3,0.0007828713
Methy_NPPB,0.00077908934
Methy_TBC1D4,0.00077869825
Methy_TMEM160,0.0007779671
Methy_MAP1D,0.00077784265
Methy_PLEKHA3,0.00077533623
Methy_MTA2,0.00077442103
Methy_TCEAL7,0.00077431207
Methy_ZNF620,0.0007732169
Methy_NSMCE1,0.0007731719
Methy_UNC93A,0.0007730647
Methy_TSG101,0.0007709758
Methy_PON1,0.0007700598
Methy_RAB21,0.0007646476
Methy_SHFM1,0.000764192
Methy_VTA1,0.0007623036
Methy_OTX2,0.00075846026
Methy_ZNF277,0.0007574069
Methy_USP42,0.0007567254
Methy_WDR24,0.00075369986
Methy_NOX4,0.0007527619
Methy_ZNF417,0.00075218617
Methy_TCEAL1,0.00075110496
Methy_TRIM40,0.00075050804
Methy_RPP25,0.00074765855
Methy_NT5DC3,0.0007470445
Methy_PAK1,0.00074388075
Methy_ZNF74,0.00074347696
Methy_SSNA1,0.0007426416
Methy_VAV2,0.0007425525
Methy_MYBL2,0.0007403995
Methy_TRIM61,0.0007403728
Methy_RABGEF1,0.00073698844
Methy_SLIT1,0.0007360895
Methy_PEX13,0.000731327
Methy_UBE2D4,0.0007296401
Methy_SSH2,0.00072537526
Methy_SPINK4,0.00072422554
Methy_PDZRN4,0.0007232063
Methy_OTOS,0.0007222499
Methy_ZNF20,0.00072179845
Methy_OTUD5,0.0007211909
Methy_TPPP,0.00072056113
Methy_OR5B21,0.00072021957
Methy_PADI3,0.00071936887
Methy_MLF2,0.00071697845
Methy_TTC30A,0.000715566
Methy_STK39,0.0007148152
Methy_ZNF449,0.0007145994
Methy_MS4A2,0.0007143046
Methy_MATR3,0.0007142218
Methy_PACSIN2,0.00071216567
Methy_SLC30A10,0.00071156176
Methy_NUDT13,0.00070982793
Methy_UBC,0.00070961687
Methy_STMN3,0.0007095923
Methy_UNC84B,0.0007074574
Methy_TBRG4,0.0007072321
Methy_ZMYM3,0.00070690527
Methy_NDUFA1,0.0007063937
Methy_TRUB1,0.00070603157
Methy_PGRMC1,0.0007047977
Methy_TSGA14,0.0007020649
Methy_SNX3,0.00070193957
Methy_RPS27L,0.0007018552
Methy_SH2D1B,0.00070159463
Methy_PIGU,0.0007015829
Methy_SOSTDC1,0.0007009273
Methy_PTPRU,0.0007006321
Methy_PNPLA8,0.00069756404
Methy_NFAM1,0.0006974264
Methy_OTUD7B,0.0006973402
Methy_TTC4,0.000696928
Methy_PTCH2,0.00069684174
Methy_ZNF383,0.0006955527
Methy_PCYOX1L,0.0006952923
Methy_SLC34A2,0.0006947105
Methy_RHCG,0.0006945239
Methy_OR56A4,0.00069414766
Methy_PKD2L1,0.0006939008
Methy_SEMA3E,0.0006932168
Methy_PIF1,0.00069311296
Methy_P2RY12,0.0006921437
Methy_NEK10,0.0006911049
Methy_RBPMS,0.0006908173
Methy_PSME4,0.00069034623
Methy_MARCH5,0.00068998465
Methy_MSH6,0.00068907824
Methy_ZBTB33,0.0006886461
Methy_UTP11L,0.0006882576
Methy_SNORD53,0.0006858531
Methy_TRAF3IP2,0.00068550324
Methy_RPS3,0.0006842448
Methy_PRDM7,0.00068201736
Methy_MRPL47,0.00068194245
Methy_MYH8,0.0006801824
Methy_WFDC8,0.0006801747
Methy_SMN1,0.0006801411
Methy_OCA2,0.0006795907
Methy_SOHLH2,0.00067922723
Methy_SLC41A3,0.0006789801
Methy_ZNF502,0.0006780375
Methy_SPARC,0.0006765738
Methy_PDK1,0.0006761498
Methy_RNF128,0.0006761104
Methy_VSX1,0.00067602715
Methy_RPS6KA1,0.0006741951
Methy_PMCH,0.0006731213
Methy_TARDBP,0.00067277695
Methy_ZNF683,0.0006721834
Methy_TCEAL6,0.0006713769
Methy_MARS,0.00067079003
Methy_RASD1,0.00067071914
Methy_VKORC1L1,0.00067014893
Methy_RNF113A,0.00066954526
Methy_RBP1,0.0006663858
Methy_MYBPH,0.00066592835
Methy_PAQR4,0.0006656035
Methy_SPIN1,0.0006655694
Methy_TM4SF19,0.000664865
Methy_SLC16A13,0.0006647897
Methy_PARP3,0.0006643893
Methy_NARG2,0.0006610906
Methy_POP1,0.00066059816
Methy_ZBTB41,0.0006605771
Methy_PCDHGA10,0.00065867684
Methy_WDR8,0.00065729016
Methy_RAPGEF3,0.00065578654
Methy_RWDD2B,0.0006557237
Methy_PAQR6,0.00065285154
Methy_PLA2G2D,0.0006527573
Methy_PCDH11X,0.00065209117
Methy_PTGDS,0.0006515673
Methy_OR2L13,0.0006511376
Methy_MATN3,0.0006478773
Methy_TAF9B,0.00064643414
Methy_OSTN,0.0006462566
Methy_NGFRAP1,0.00064600614
Methy_OR8B4,0.000645301
Methy_ZBTB39,0.0006451146
Methy_PLXNA3,0.00064465264
Methy_TSPY1,0.0006441823
Methy_SCARNA15,0.00064366334
Methy_OXGR1,0.0006436268
Methy_ZNF114,0.00064350717
Methy_NRD1,0.0006434261
Methy_WDR45,0.0006424377
Methy_PITX3,0.0006403871
Methy_SLC12A5,0.00063914154
Methy_SYT13,0.0006372582
Methy_PAX9,0.00063704164
Methy_SIGLEC15,0.0006356049
Methy_SLC46A2,0.00063456094
Methy_SNRPA1,0.0006320423
Methy_PTPRN2,0.0006312983
Methy_PPP3CC,0.0006307406
Methy_PCSK1,0.00063014013
Methy_TSSK4,0.0006294275
Methy_MRVI1,0.00062909676
Methy_SAMD9,0.0006288172
Methy_VCX2,0.00062873494
Methy_SLC2A11,0.00062810373
Methy_TRIM45,0.00062633696
Methy_NAGA,0.0006261961
Methy_PPP2R3A,0.0006261067
Methy_RAB5A,0.0006254041
Methy_TNNI1,0.00062474917
Methy_NCBP1,0.000623722
Methy_SIM2,0.0006230985
Methy_TDRD12,0.00062308216
Methy_OR10AD1,0.00062232115
Methy_PLA2G2F,0.00062186597
Methy_MTCP1,0.0006213054
Methy_RNF32,0.00062082417
Methy_VAMP2,0.0006204701
Methy_SYNPR,0.00062028685
Methy_ZNF501,0.00062012667
Methy_OR9Q2,0.00061975437
Methy_UPF1,0.00061887875
Methy_TMED3,0.0006187665
Methy_ROPN1B,0.00061824557
Methy_TSPAN9,0.0006159616
Methy_MICAL1,0.00061338145
Methy_MIER2,0.00061259425
Methy_VBP1,0.0006123167
Methy_TMEM155,0.0006114064
Methy_OPTC,0.000611327
Methy_MYADML,0.0006089691
Methy_NUDT9,0.0006079426
Methy_PLUNC,0.0006073919
Methy_RSPO2,0.0006070392
Methy_USP36,0.00060681987
Methy_TUBA4A,0.0006068184
Methy_SEC61G,0.0006067459
Methy_RYR1,0.0006053641
Methy_ZBTB6,0.00060482987
Methy_SPRYD4,0.00060348905
Methy_MMP26,0.00060342357
Methy_SERPINI2,0.0006029696
Methy_MAP2K5,0.0006019998
Methy_ST7,0.000601028
Methy_ZNF331,0.0006008226
Methy_TCEB3B,0.0006003128
Methy_RAB11B,0.0006001098
Methy_SEPX1,0.0005999066
Methy_PMS2L2,0.0005998433
Methy_SMCHD1,0.00059969176
Methy_MAPK15,0.00059941737
Methy_NCKIPSD,0.00059834437
Methy_MRPL12,0.00059687765
Methy_SPACA3,0.0005959359
Methy_SPIRE2,0.0005951239
Methy_ZC3H11A,0.0005939551
Methy_WTAP,0.00059163105
Methy_PRDM10,0.0005911927
Methy_PIWIL3,0.00059067295
Methy_TBC1D9,0.00059054495
Methy_ZNF569,0.0005903719
Methy_NFYA,0.000589992
Methy_UPF3A,0.000589703
Methy_PCDHGB5,0.00058960315
Methy_ZNF576,0.0005885056
Methy_NLRP4,0.00058627094
Methy_PDCD5,0.0005859033
Methy_RTN4R,0.0005856867
Methy_NDUFB11,0.0005856019
Methy_ZBTB25,0.00058541883
Methy_PLOD3,0.0005854104
Methy_VCX3B,0.0005839123
Methy_WBP2,0.00058358687
Methy_ZAR1,0.0005828728
Methy_TMEM102,0.0005828009
Methy_NOL12,0.0005818882
Methy_OLFM1,0.0005814528
Methy_WNT16,0.0005811353
Methy_PRB4,0.0005811197
Methy_RIT2,0.0005807696
Methy_NRIP1,0.0005804412
Methy_THUMPD3,0.0005802158
Methy_NOX5,0.00057980407
Methy_RRM2,0.0005796862
Methy_PSORS1C1,0.0005789575
Methy_WDR51A,0.0005785533
Methy_TAC1,0.0005778686
Methy_TACC1,0.0005773793
Methy_NXPH4,0.0005764932
Methy_MAGEB10,0.0005759026
Methy_TMEM161B,0.000575097
Methy_RBM33,0.00057433674
Methy_MCPH1,0.0005738957
Methy_PF4V1,0.0005734442
Methy_OR1A2,0.00057242805
Methy_XRCC5,0.00057093566
Methy_THADA,0.0005707498
Methy_SRD5A1,0.0005702817
Methy_NUDCD3,0.00056799717
Methy_ZNF142,0.0005677006
Methy_ZNF717,0.00056748523
Methy_SDSL,0.0005673798
Methy_SLC25A16,0.0005662088
Methy_MRPS21,0.00056609826
Methy_SNURF,0.0005660583
Methy_TMEM97,0.0005654521
Methy_OR1S2,0.00056500104
Methy_RPS29,0.0005649693
Methy_POLA1,0.0005648847
Methy_VEGFA,0.00056430534
Methy_TTRAP,0.00056420127
Methy_NDUFA10,0.00056370074
Methy_PIK3R2,0.00056285976
Methy_ZNF584,0.00056265405
Methy_PASK,0.00056237687
Methy_WHSC1,0.0005620922
Methy_NUPL2,0.0005614372
Methy_TMED10P,0.0005608391
Methy_RNF19A,0.0005597404
Methy_VPS39,0.00055926305
Methy_UGT1A6,0.00055802724
Methy_SMARCD1,0.0005574768
Methy_OR52N1,0.0005570551
Methy_TNRC6A,0.0005569705
Methy_NUP62CL,0.0005564834
Methy_MSRB2,0.0005563823
Methy_PRICKLE3,0.0005563312
